Feature_1,Feature_2,Target
54.96714153,26.60752635,0
48.61735699,28.47250268,0
56.47688538,27.01309469,0
65.23029856,30.55209023,0
47.65846625,35.98589266,0
47.65863043,26.14478921,0
65.79212816,35.00410249,1
57.67434729,26.09163964,0
,25.76186394,0
55.42560044,34.09297309,0
45.36582307,34.60968189,1
45.34270246,34.25704968,0
52.41962272,23.42101296,0
30.86719755,27.67024511,0
32.75082167,34.11494296,0
44.37712471,30.2077092,0
39.8716888,24.63153577,0
53.14247333,32.2915897,0
40.91975924,26.42596371,0
35.87696299,38.97262424,0
64.65648769,37.72420731,0
47.742237,33.02048713,0
50.67528205,36.80503352,0
35.75251814,30.32395675,0
44.55617275,33.82718747,0
51.1092259,37.38860148,0
38.49006423,31.22749341,0
53.75698018,28.72406414,0
43.9936131,21.47689021,0
47.0830625,29.58433237,0
43.98293388,34.11711592,0
68.52278185,34.72816714,0
49.86502775,32.52182533,0
39.42289071,27.29350453,
58.22544912,20.11589216,0
37.7915635,27.52392451,0
52.08863595,28.47827564,0
30.40329876,28.43535516,0
36.71813951,33.09278178,0
51.96861236,39.92838206,0
57.3846658,30.61764601,0
51.71368281,28.91634105,0
48.84351718,28.70389093,0
46.98896304,30.62192383,0
35.2147801,25.8585312,0
42.80155792,30.60099279,0
45.39361229,32.25406168,0
60.57122226,31.04843032,1
53.4361829,32.28770967,0
32.36959845,32.16873805,0
53.24083969,21.14051659,0
46.1491772,33.18435079,0
43.23078,26.64492577,0
56.11676289,24.52080418,0
60.30999522,24.47774086,0
59.31280119,32.16770805,0
41.60782477,28.88712536,0
46.90787624,21.59015608,0
53.31263431,32.39018908,0
59.75545127,22.80195935,0
45.20825762,30.69910679,0
48.14341023,31.19249463,0
38.93665026,34.42788541,0
38.03793376,38.90842393,0
58.12525822,23.17661837,0
63.56240029,29.73763072,0
49.27989878,28.61832352,0
60.03532898,32.16874843,0
53.61636025,31.07834385,0
43.54880245,28.23726879,0
53.61395606,27.79548906,0
65.38036566,24.41774572,0
49.64173961,34.93930791,0
65.64643656,32.29602091,0
23.80254896,34.58884099,1
58.21902504,28.44801932,0
50.87047068,26.71582266,0
47.0099265,24.60842467,0
50.91760777,31.79458792,0
30.12431085,24.80103388,0
47.80328112,39.24331534,0
53.57112572,23.46178709,0
64.77894045,31.3683006,0
44.81729782,37.83427354,0
41.91506397,32.9954488,0
44.98242956,30.87836856,0
59.15402118,25.15758177,0
53.2875111,23.09115406,0
44.70239796,33.85025054,0
55.13267433,,0
50.97077549,27.80575005,0
59.68644991,24.30469246,0
42.97946906,17.70915285,0
46.72337853,25.09617578,1
46.07891847,29.43171579,0
35.36485052,37.9956162,0
52.96120277,33.36566846,0
52.61055272,31.52542702,0
50.05113457,27.99940169,0
47.65412867,27.08417141,0
35.84629258,37.02823799,0
45.79354677,31.0036927,0
46.57285483,19.48699654,0
41.97722731,26.63230176,0
48.38714288,25.70891984,0
54.04050857,27.26867995,1
68.86185901,32.8145533,0
51.74577813,29.46277559,0
52.57550391,29.61567296,0
49.25554084,36.56736581,0
30.81228785,26.51769455,0
49.73486125,39.32099763,1
50.6023021,26.64346204,0
74.63242112,30.44599098,0
48.07639035,28.59398202,1
53.01547342,30.61709567,0
49.6528823,32.22295998,0
38.31321962,32.1691762,0
61.42822815,26.23441335,0
57.51933033,24.38542661,0
57.91031947,42.51585895,0
40.90612545,27.5800783,0
64.02794311,33.49606219,0
35.98148937,21.96179345,0
55.86857094,28.6019364,1
71.90455626,29.36400308,0
40.09463675,32.36407535,0
44.3370227,16.3877293,0
50.99651365,30.83070307,0
44.96524346,24.25129272,0
34.49336569,31.62172856,0
50.68562975,24.81835402,0
39.37696286,25.72258652,0
54.73592431,28.63186195,0
40.80575766,24.73835265,0
65.49934405,27.62232777,0
42.16746708,24.03312116,0
46.77938484,20.83414774,0
58.13517217,35.08978526,0
37.69135684,23.51975654,0
